ID,Level,Inverse_variance_weighted,OR,MR_Egger,Weighted_median,Simple_mode,Weighted_mode,QQNOMEANING
400,phylum,0.912249678,1.024890996,0.646543658,0.743805918,0.893462005,0.440087173,1
55,phylum,0.197634672,1.177441579,0.198003277,0.709839521,0.193526287,0.909783742,1
1672,phylum,0.813093715,1.088753977,0.433352275,0.467419051,0.738881369,0.510372154,1
2238,phylum,0.540315779,0.846063147,0.510896571,0.930980793,0.230879493,0.750097547,1
2375,phylum,0.737776799,1.081796032,0.58618051,0.521549973,0.718079188,0.436591305,1
3919,phylum,0.426185808,0.80892361,0.337889401,0.17845729,0.420083432,0.387765731,1
3982,phylum,0.868942915,0.953165798,0.942621247,0.431225535,0.812438063,0.388377878,1
419,class,0.904255395,1.032478086,0.37829498,0.24447779,0.852450204,0.284540994,1
2379,class,0.387681591,1.26898931,0.496212251,0.879651866,0.386726526,0.916603375,1
1673,class,0.851875271,1.051766943,0.736454796,0.673126527,0.820273037,0.720609333,1
912,class,0.891810612,0.960692769,0.300884564,0.87022463,0.890539983,0.570615727,1
2867,class,0.429643437,1.419561676,0.095313093,0.798326092,0.197775098,0.939546163,1
1859,class,0.694505526,1.18675028,0.89575091,0.832053267,0.556932307,0.737167464,1
809,class,0.044771928,0.599423364,0.414464919,0.472006257,0.042798913,0.803197697,1
3087,class,0.125713357,0.747677796,0.444421458,0.1965209,0.122381658,0.168408193,1
2147,class,0.578081407,0.808860551,0.893431049,0.58552957,0.453190735,0.490288451,1
2250,class,0.529876667,0.841592882,0.48757799,0.862516433,0.220036295,0.800471233,1
1589,class,0.126679544,0.752887806,0.975867571,0.286470333,0.128189002,0.800803926,1
119,class,0.095261141,1.26073695,0.66630572,0.303351344,0.095691853,0.657596235,1
3920,class,0.406254121,0.801401326,0.329790884,0.1451987,0.400333751,0.356674466,1
2164,class,0.025527962,2.131782812,0.877338147,0.104030513,0.029830335,0.316199333,1
4029,class,0.754257424,0.927027463,0.246231709,0.800988762,0.692854837,0.505333413,1
1674,order,0.034563079,0.753822634,0.618673837,0.426158155,0.035012556,0.720170436,1
913,order,0.891810612,0.960692769,0.300884564,0.872450479,0.890539983,0.569590908,1
432,order,0.020300938,1.582048283,0.256288632,0.091741022,0.019769098,0.228265303,1
2874,order,0.424352304,1.430763341,0.099747046,0.781744538,0.193164967,0.909451758,1
1863,order,0.557395619,1.24540451,0.704807344,0.753504115,0.417843548,0.710377623,1
810,order,0.044771928,0.599423364,0.414464919,0.472753436,0.042798913,0.81590578,1
3156,order,0.117520298,0.728377523,0.531404226,0.087009491,0.103758756,0.180270141,1
3468,order,0.144345413,1.543666758,0.615906859,0.134852819,0.146420725,0.283336322,1
2148,order,0.578081407,0.808860551,0.893431049,0.581504901,0.453190735,0.479503906,1
1591,order,0.670062046,0.90814774,0.412285585,0.701992225,0.552533797,0.461058096,1
1800,order,0.56909947,1.149143223,0.616375377,0.659218352,0.532054713,0.712865035,1
120,order,0.095261141,1.26073695,0.66630572,0.309820017,0.095691853,0.67569448,1
11579,order,0.134708748,1.425982336,0.344069401,0.199114112,0.066188856,0.326384901,1
3953,order,0.074356456,1.225025192,0.964154843,0.23329937,0.069858572,0.248266024,1
3688,order,0.456201316,1.201223086,0.919691813,0.5800237,0.457931232,0.760869659,1
2667,order,0.740223445,0.93154673,0.345925371,0.78274764,0.669537714,0.648055631,1
2165,order,0.025527962,2.131782812,0.877338147,0.09121258,0.029830335,0.312343163,1
4030,order,0.714416841,0.912823494,0.264617461,0.799273719,0.636892912,0.507707688,1
2254,order,0.529876667,0.841592882,0.48757799,0.863636925,0.220036295,0.793331162,1
2166,family,0.271385746,1.361356627,0.725507608,0.481424758,0.272491742,0.699556876,1
2875,family,0.703475181,0.92010876,0.183389742,0.556302536,0.70052092,0.697301311,1
917,family,0.715480677,1.141123266,0.82779794,0.753177169,0.715622108,0.806815001,1
11173,family,0.440951931,1.129207617,0.544827299,0.518241699,0.440176673,0.7115574,1
433,family,0.020300938,1.582048283,0.256288632,0.08458471,0.019769098,0.236718281,1
1869,family,0.839935476,1.051274364,0.989197235,0.948755362,0.838171476,0.786094952,1
11286,family,0.756263367,1.054022013,0.46395465,0.914540701,0.753903498,0.920764481,1
811,family,0.044771928,0.599423364,0.414464919,0.45340593,0.042798913,0.807893211,1
3169,family,0.036019818,0.644670274,0.476479541,0.044596016,0.037237664,0.151300231,1
3469,family,0.144345413,1.543666758,0.615906859,0.148791769,0.146420725,0.27406609,1
2149,family,0.578081407,0.808860551,0.893431049,0.566672625,0.453190735,0.499465363,1
1936,family,0.428202817,0.915348613,0.627313829,0.411393999,0.426894519,0.406468181,1
1957,family,0.831246837,1.070641192,0.57246226,0.716700671,0.82929382,0.539517332,1
1987,family,0.331083289,1.223308196,0.156430129,0.456651777,0.331952549,0.887118794,1
1836,family,0.703479848,1.098005158,0.602467853,0.906683724,0.701562744,0.899973569,1
121,family,0.095261141,1.26073695,0.66630572,0.300326793,0.095691853,0.653420669,1
2966,family,0.437705076,0.889442516,0.946906992,0.673899309,0.431672547,0.741123398,1
3689,family,0.456201316,1.201223086,0.919691813,0.565031934,0.457931232,0.745695089,1
2024,family,0.777250534,0.940361328,0.272543597,0.458612889,0.774023043,0.445188194,1
2042,family,0.037467984,0.64679298,0.12221184,0.031043137,0.028636716,0.094983486,1
943,family,0.293991501,1.401944084,0.189629239,0.281314002,0.255075083,0.298846547,1
960,family,0.436004326,0.866151538,0.492451981,0.534579801,0.401286387,0.300803405,1
2717,family,0.495388085,1.135666741,0.294783507,0.855503066,0.482910212,0.936334444,1
967,family,0.698266034,0.888489183,0.881601852,0.680498253,0.695866114,0.711979683,1
2050,family,0.005353607,0.326167362,0.93995641,0.017637798,0.008451442,0.154188537,1
1850,family,0.414354146,1.194487615,0.129013802,0.3245137,0.380104873,0.611526954,1
2172,family,0.884730819,0.962691332,0.489840323,0.996427621,0.854216429,0.965693017,1
4036,family,0.754409653,0.927079853,0.246268698,0.798667835,0.692635087,0.500473181,1
2255,family,0.468696121,1.1330872,0.609608934,0.717378691,0.331960785,0.751072936,1
812,genus,0.49990599,0.871473965,0.286410164,0.269262524,0.495303178,0.408948657,1
4037,genus,0.713866801,0.912754624,0.267231431,0.801099829,0.634777819,0.542514864,1
968,genus,0.316223768,0.808506965,0.364052218,0.141819291,0.303948163,0.299191741,1
2174,genus,0.533805879,1.070864314,0.877846357,0.628828245,0.528831099,0.747427915,1
961,genus,0.29287753,1.155425203,0.62296453,0.269025988,0.294156922,0.42352372,1
2053,genus,0.662791092,1.062677688,0.607656237,0.772270815,0.662076473,0.974235278,1
1991,genus,0.448457732,1.240235826,0.242329882,0.614793884,0.440990789,0.786878847,1
2054,genus,0.080418962,0.674860453,0.902534705,0.082991417,0.080087012,0.256802232,1
918,genus,0.715480677,1.141123266,0.82779794,0.75939,0.715622108,0.792187529,1
944,genus,0.249091295,1.358053235,0.836411513,0.229089029,0.243432828,0.356900078,1
436,genus,0.344957015,1.290600893,0.292935126,0.354177918,0.174473859,0.400521037,1
3170,genus,0.058953758,1.708593381,0.570133539,0.617754785,0.022338274,0.779037481,1
2055,genus,0.799519396,0.917661807,0.900473689,0.923418733,0.685510697,0.937160879,1
945,genus,0.839634358,0.960529431,0.358586296,0.704589491,0.838623423,0.714868685,1
1993,genus,0.906984324,1.014290654,0.502281465,0.402144587,0.871965243,0.42987938,1
11350,genus,0.724354252,0.948872472,0.8465796,0.840409762,0.719118319,0.733348557,1
11283,genus,0.621247097,1.424875412,0.621613107,0.463105343,0.317380063,0.492897132,1
14397,genus,0.765377393,1.044328689,0.442909465,0.443947201,0.762677287,0.554189731,1
815,genus,0.497534501,0.812912804,0.805173721,0.321389955,0.492511816,0.49599569,1
949,genus,0.090001894,0.767548045,0.391304428,0.169802933,0.092257771,0.335125838,1
11301,genus,0.643800383,0.88984246,0.898832712,0.51171181,0.639688959,0.477574574,1
11302,genus,0.134231512,0.698720308,0.794230574,0.380669899,0.133044415,0.468459238,1
3173,genus,0.431725161,0.865816291,0.958350969,0.57477345,0.427666765,0.879222205,1
2183,genus,0.722777357,1.127784725,0.112350349,0.86895008,0.58025461,0.979947002,1
1997,genus,0.139344339,1.451458243,0.543670272,0.281609061,0.139378036,0.640134656,1
819,genus,0.492790369,1.189981997,0.81839784,0.934954394,0.323891239,0.733362407,1
11304,genus,0.646528039,1.061356221,0.228166233,0.813626385,0.624986712,0.914527801,1
11381,genus,0.710543566,0.937367221,0.74766653,0.908013778,0.703822997,0.840159024,1
3504,genus,0.897246977,0.960571978,0.680399896,0.960753034,0.897007847,0.867084258,1
11296,genus,0.198365454,0.799600938,0.270864393,0.194491477,0.161128074,0.390570269,1
11375,genus,0.968395916,1.010924957,0.034667549,0.51315885,0.961814399,0.558138361,1
14373,genus,0.279271393,1.179739824,0.952237328,0.281387572,0.281143684,0.469785464,1
11338,genus,0.616526689,1.170416587,0.231887359,0.405423209,0.503117446,0.447596758,1
11297,genus,0.051817977,0.781174629,0.494249707,0.314521768,0.05309796,0.555489963,1
11340,genus,0.439198896,0.89899629,0.598382514,0.966612375,0.432138633,0.725423659,1
11341,genus,0.424348011,1.224504438,0.600373893,0.301083517,0.280533237,0.632271581,1
14375,genus,0.295914197,1.417844294,0.975454497,0.279387802,0.286552015,0.36584351,1
2057,genus,0.257128986,1.563848514,0.552940602,0.462155227,0.259352013,0.657932787,1
11293,genus,0.194697389,1.493481364,0.837631568,0.89089883,0.087436592,0.912744434,1
11294,genus,0.137820944,1.614370843,0.641281927,0.296140384,0.139983738,0.478156991,1
2059,genus,0.173086547,1.442961043,0.517011956,0.442931411,0.176941207,0.585627791,1
11305,genus,0.674949599,0.923029425,0.431879386,0.975089779,0.662358939,0.373403057,1
821,genus,0.884324773,1.022058057,0.937593419,0.860949484,0.862730215,0.469748137,1
2157,genus,0.228481223,1.306733046,0.755758393,0.210328927,0.096331415,0.357186312,1
2000,genus,0.177199464,0.813598578,0.553468059,0.760975558,0.140347215,0.901575882,1
11306,genus,0.985165428,1.003462143,0.501395485,0.829389881,0.983155092,0.51087771,1
11345,genus,0.938296119,0.976817813,0.058464461,0.538087043,0.896301918,0.333289446,1
2062,genus,0.680100352,0.89914733,0.789018804,0.647824024,0.654367591,0.647469653,1
11308,genus,0.265289453,0.752589569,0.914264275,0.571228572,0.26234883,0.989068599,1
11314,genus,0.108085855,1.452072831,0.469092498,0.196704425,0.109239019,0.317658811,1
11316,genus,0.102456327,0.735126125,0.856817352,0.18753977,0.105654609,0.436444068,1
11319,genus,0.343251674,1.308601605,0.752896966,0.266036111,0.178185794,0.261883145,1
11321,genus,0.940199057,1.012297057,0.146686035,0.770273623,0.93889927,0.726316738,1
11324,genus,0.026948139,1.642853744,0.398445627,0.048807407,0.027018041,0.179935922,1
11330,genus,0.767889781,1.116078741,0.381095402,0.740081184,0.726595483,0.708841841,1
1837,genus,0.69256934,1.086299838,0.739756821,0.840776922,0.691096448,0.945208181,1
1851,genus,0.462181576,0.86793156,0.806992504,0.581903345,0.24834463,0.771578377,1
2005,genus,0.485352275,0.870353212,0.324314616,0.782103935,0.48190866,0.835555598,1
123,genus,0.691210902,1.125382944,0.737873432,0.165681308,0.391012992,0.167085623,1
822,genus,0.665035225,0.947311001,0.229709306,0.729470361,0.660835699,0.813281241,1
2063,genus,0.766474951,1.050669411,0.827169572,0.943646575,0.763199939,0.359275919,1
2064,genus,0.494736778,0.811783067,0.645464966,0.920732714,0.393266692,0.998068618,1
954,genus,0.233834807,1.488927634,0.285946622,0.278004985,0.205492648,0.26871071,1
962,genus,0.651307824,1.083938096,0.862367169,0.894188351,0.597815887,0.88989443,1
2892,genus,0.365284459,0.865092388,0.18725347,0.285440416,0.36046393,0.368973719,1
2037,genus,0.792591704,1.065564616,0.950231157,0.410225733,0.640420434,0.249391974,1
2168,genus,0.924784498,1.030595189,0.579077535,0.830829937,0.924435159,0.74794859,1
11182,genus,0.599012577,1.073043348,0.942265444,0.783820012,0.596803012,0.8154902,1
11183,genus,0.021968488,0.639721089,0.612837601,0.159956689,0.022154055,0.352697959,1
11191,genus,0.125904136,1.28381301,0.830355254,0.210559837,0.131940022,0.421408667,1
11347,genus,0.215143806,0.767038953,0.613182439,0.612460147,0.215146747,0.863924368,1
2012,genus,0.340140681,1.272691967,0.756249962,0.944763306,0.293624812,0.791930847,1
11355,genus,0.677957689,1.110499685,0.979430354,0.334793523,0.673650757,0.54383422,1
11356,genus,0.673205217,0.899233464,0.405395726,0.302687311,0.550074243,0.331973737,1
11357,genus,0.223596039,0.45805519,0.402127138,0.483241733,0.034938277,0.822557886,1
11358,genus,0.806582519,0.925654775,0.798687901,0.577539768,0.773394175,0.891033672,1
11360,genus,0.988592351,1.003656154,0.486275345,0.830425209,0.985640934,0.974761248,1
11361,genus,0.042603573,1.561679304,0.367983912,0.151246951,0.0424354,0.361126868,1
11362,genus,0.883623375,1.03216601,0.460903177,0.46777021,0.881980205,0.546978441,1
11363,genus,0.549210703,1.148845264,0.820701504,0.224913334,0.544429411,0.357280654,1
11366,genus,0.498116892,1.12706964,0.60982541,0.564152855,0.49512337,0.43916614,1
11367,genus,0.07464532,1.737049779,0.979745895,0.239416778,0.078218697,0.510800253,1
11368,genus,0.742728485,0.958494189,0.922475772,0.844606643,0.741556785,0.834058549,1
11370,genus,0.234345621,1.579350042,0.580160858,0.0322833,0.083279491,0.106049851,1
11371,genus,0.238764304,1.289448578,0.282252923,0.208630804,0.231989458,0.414881247,1
11342,genus,0.763956371,0.905449835,0.486682043,0.169221672,0.65498493,0.237184791,1
14376,genus,0.107707745,0.745440211,0.629227043,0.703825857,0.061025955,0.974358722,1
14377,genus,0.4772708,0.731955681,0.15036472,0.289583081,0.244871115,0.195838821,1
11373,genus,0.473200031,1.275467232,0.242260959,0.220789074,0.433077748,0.313497394,1
11374,genus,0.556936939,1.149284151,0.445187356,0.747461387,0.505380593,0.587182584,1
14369,genus,0.45304731,1.096104188,0.449711049,0.434572538,0.449913074,0.414182509,1
11160,genus,0.960209892,1.010425114,0.706920388,0.881266093,0.960137934,0.81383653,1
825,genus,0.814655314,1.04807174,0.862728032,0.902671514,0.798256156,0.76411955,1
1853,genus,0.228701399,1.264688695,0.352754886,0.253455995,0.217074406,0.499011449,1
2070,genus,0.522162552,0.852699742,0.42494738,0.447972871,0.517593976,0.518340648,1
2896,genus,0.991136192,0.997588146,0.234725493,0.759437059,0.9909545,0.837751352,1
11348,genus,0.224094826,1.327443085,0.296882832,0.486225021,0.164866425,0.945873715,1
2162,genus,0.881167166,1.036813831,0.493413789,0.907986047,0.84329536,0.843596574,1
11335,genus,0.692747087,0.938542547,0.626099596,0.888285122,0.690934394,0.742650834,1
2198,genus,0.937964914,1.021580477,0.947553127,0.643856879,0.926082877,0.67221802,1
2256,genus,0.352835762,1.1133605,0.808739444,0.48386311,0.346883387,0.629874595,1
